algorithm,case,n,time,comparisons,allocations,maxDepth
MergeSort,random,100,952600,661,7,4
QuickSort,random,100,1966800,760,300,1
MergeSort,sorted,100,23000,244,7,4
QuickSort,sorted,100,58900,641,108,1
MergeSort,reversed,100,35400,724,7,4
QuickSort,reversed,100,55300,588,258,1
MergeSort,random,500,204800,4621,31,6
QuickSort,random,500,310700,5273,2916,1
MergeSort,sorted,500,100900,1728,31,6
QuickSort,sorted,500,236100,4950,497,1
MergeSort,reversed,500,203100,4900,31,6
QuickSort,reversed,500,262300,4880,2350,1
MergeSort,random,1000,431800,10261,63,7
QuickSort,random,1000,228800,10194,5194,1
MergeSort,sorted,1000,62700,3956,63,7
QuickSort,sorted,1000,153000,10931,973,1
MergeSort,reversed,1000,83000,10300,63,7
QuickSort,reversed,1000,156600,10854,4849,1
MergeSort,random,5000,676500,58718,511,10
QuickSort,random,5000,684800,68967,35277,1
MergeSort,sorted,5000,308800,27124,511,10
QuickSort,sorted,5000,200900,69565,5038,1
MergeSort,reversed,5000,371800,44332,511,10
QuickSort,reversed,5000,306300,70469,26415,1
MergeSort,random,10000,1729900,126784,1023,11
QuickSort,random,10000,1173200,153193,80748,1
MergeSort,sorted,10000,2293100,59248,1023,11
QuickSort,sorted,10000,1362300,150650,10082,1
MergeSort,reversed,10000,3705500,93662,1023,11
QuickSort,reversed,10000,707300,149978,53100,1
